,Customer Number,Campaign Period Sales,Historical Sales Volume,Date of First Purchase,Number of Prior Year Transactions,Do Not Direct Mail Solicit,Do Not Email,Do Not Telemarket,Repurchase Method,Last Transaction Channel,Desk,Executive Chair,Standard Chair,Monitor,Printer,Computer,Insurance,Toner,Office Supplies,Number of Employees,Language,Service Level,Date of Last Transaction,Number of Transactions,Email Available,Buy,Customer_engagement_days,Days_since_last_transaction,Customer_engagement_length,Language_group
66,463477,0.0,1520057.7600000002,1978-08-15,30,False,False,False,AUTO RENEW,WEB,N,N,N,N,N,N,Y,N,Y,11-50,English,Standard,2013-11-27,30,True,0,15565,2677,Long-term,English
67,465038,0.0,344148.48,1977-08-15,18,False,False,False,NOTICE,WEB,N,N,N,N,N,N,N,N,Y,1-5,English,Standard,2014-12-23,18,True,0,15930,2286,Long-term,English
68,469927,0.0,289807.54285714286,1983-07-15,12,False,False,False,NOTICE,WEB,N,N,N,N,N,N,N,N,Y,6-10,English,Standard,2014-07-17,12,True,0,13770,2445,Mid-term,English
69,473854,409.76000000000005,86049.6,1975-04-15,21,False,False,False,NOTICE,WEB,N,N,N,N,N,N,N,N,Y,11-50,English,Premier,2012-12-15,21,False,1,16783,3024,Long-term,English
70,475838,0.0,24411.333333333336,1989-05-01,5,False,False,False,NOTICE,WEB,N,N,N,N,N,N,N,N,Y,101-500,Unknown,Premier,2016-09-28,5,True,0,11653,1641,Mid-term,Unknown
71,479595,0.0,95870.0,1995-06-01,6,False,False,False,NOTICE,BRANCH (PHONE),Y,N,N,N,N,N,N,N,N,11-50,English,Premier,2015-02-12,6,True,0,9431,2235,Mid-term,English
72,481829,0.0,130069.33333333334,1987-07-01,20,False,False,False,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,N,N,Y,6-10,English,Premier,2013-10-16,20,True,0,12323,2719,Mid-term,English
73,483018,0.0,459523.67999999993,1986-07-15,18,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,11-50,English,Premier,2014-01-19,18,True,0,12674,2624,Mid-term,English
74,488200,621.8000000000001,790929.6000000001,1974-07-01,24,False,True,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,101-500,English,Standard,2015-03-19,24,False,1,17071,2200,Long-term,English
75,489757,0.0,142550.81904761904,2013-08-30,13,False,True,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,6-10,English,Standard,2014-08-22,13,True,0,2766,2409,Short-term,English
77,500723,0.0,231278.40000000002,1990-05-01,9,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,1-5,English,Standard,2012-09-11,9,False,0,11288,3119,Mid-term,English
78,501379,0.0,238402.56,1991-01-01,17,False,False,False,NOTICE,WEB,Y,N,N,N,N,N,N,N,Y,11-50,English,Premier,2015-08-18,17,True,0,11043,2048,Mid-term,English
79,502922,159.904,240495.61599999998,1992-01-01,16,False,False,False,NOTICE,MAIL,N,Y,N,N,N,N,Y,N,Y,1-5,English,Premier,2014-12-18,16,True,1,10678,2291,Mid-term,English
80,505260,321.5333333333333,360760.39999999997,1992-09-01,11,True,True,True,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,N,N,Y,11-50,English,Standard,2015-03-26,11,True,1,10434,2193,Mid-term,English
82,508609,0.0,291845.5466666667,1992-02-01,22,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,1-5,English,Premier,2014-06-22,22,True,0,10647,2470,Mid-term,English
83,513593,689.4666666666667,2275240.0,2016-08-16,22,False,True,False,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,N,N,Y,101-500,English,Standard,2014-11-01,22,True,1,1684,2338,Short-term,English
84,515003,180.9142857142857,290367.4285714286,1972-12-15,15,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,6-10,English,Premier,2015-02-24,15,True,1,17634,2223,Long-term,English
85,515885,0.0,486963.3600000001,1982-10-01,18,False,False,False,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,Y,N,Y,51-100,English,Premier,2010-08-27,18,True,0,14057,3865,Mid-term,English
86,517569,0.0,1561308.4031999998,1991-10-15,21,False,False,False,AUTO RENEW,AUTO RENEW,N,Y,N,N,N,N,N,N,Y,11-50,English,Premier,2009-04-17,21,True,0,10756,4362,Mid-term,English
87,522869,211.13333333333333,452247.6,1983-09-01,17,False,False,False,NOTICE,MAIL,N,N,N,N,Y,N,Y,N,Y,1-5,English,Premier,2012-10-12,17,True,1,13722,3088,Mid-term,English
88,525403,327.23809523809524,36650.666666666664,2007-06-29,8,False,True,False,NOTICE,WEB,N,N,N,N,N,N,N,Y,N,6-10,English,Premier,2013-07-24,8,True,1,5020,2803,Short-term,English
90,530705,261.92380952380955,766389.0666666668,1993-11-15,22,False,False,False,NOTICE,PHONE,N,N,N,N,N,N,N,Y,Y,6-10,English,Premier,2013-07-23,22,True,1,9994,2804,Mid-term,English
91,533054,0.0,1203408.0,1985-03-01,20,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,11-50,English,Premier,2011-10-15,20,True,0,13175,3451,Mid-term,English
93,538234,0.0,244613.6,1990-05-01,19,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,1-5,English,Standard,2014-11-25,19,True,0,11288,2314,Mid-term,English
94,544783,643.4566666666667,1415604.6666666667,1994-02-15,20,False,False,False,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,N,Y,Y,51-100,English,Premier,2013-02-24,20,True,1,9902,2953,Mid-term,English
95,547834,0.0,542792.0,1991-04-01,8,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,N,51-100,Unknown,Standard,2013-05-12,8,True,0,10953,2876,Mid-term,Unknown
96,547914,235.8666666666667,96233.60000000002,1981-04-01,17,False,True,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,6-10,English,Premier,2014-01-26,17,True,1,14605,2617,Long-term,English
97,548844,0.0,2683729.4166666665,1991-09-15,19,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,N,101-500,English,Premier,2012-10-11,19,False,0,10786,3089,Mid-term,English
98,552441,0.0,483258.5142857143,1995-12-15,8,False,True,False,NOTICE,WEB,N,N,N,N,N,N,N,N,Y,6-10,English,Premier,2009-12-25,8,True,0,9234,4110,Mid-term,English
99,554226,0.0,409633.71428571426,1983-07-15,18,True,True,True,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,6-10,English,Standard,2015-07-30,18,False,0,13770,2067,Mid-term,English
100,554977,0.0,1760491.2000000002,1985-03-01,24,True,True,True,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,101-500,English,Premier,2014-01-29,24,False,0,13175,2614,Mid-term,English
101,559402,0.0,141313.2190476191,1996-02-15,5,False,False,False,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,N,N,Y,6-10,English,Standard,2012-01-13,5,True,0,9172,3361,Mid-term,English
103,577927,297.67619047619047,253322.4380952381,1980-12-15,23,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,6-10,English,Premier,2012-11-09,23,False,1,14712,3060,Long-term,English
104,580760,0.0,106833.28000000001,1990-11-01,6,False,False,False,NOTICE,WEB,N,N,N,N,N,N,N,N,Y,1-5,English,Premier,2012-05-19,6,True,0,11104,3234,Mid-term,English
105,580809,0.0,101160.2176,1997-03-15,8,False,False,False,AUTO RENEW,AUTO RENEW,N,Y,N,N,N,N,N,N,Y,1-5,English,Premier,2013-06-01,8,False,0,8778,2856,Mid-term,English
106,583531,188.11428571428573,485334.8571428572,1975-08-15,20,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,6-10,English,Standard,2015-01-03,20,True,1,16661,2275,Long-term,English
107,588242,0.0,1223666.8800000001,1996-02-15,19,False,False,False,NOTICE,MAIL,N,Y,N,N,N,N,N,N,Y,6-10,English,Standard,2011-06-27,19,False,0,9172,3561,Mid-term,English
108,590600,0.0,817190.8800000001,1996-06-01,22,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,11-50,Italian,Standard,2012-11-06,22,True,0,9065,3063,Mid-term,European
109,591403,0.0,563805.1466666667,1979-11-15,22,False,False,False,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,N,Y,Y,6-10,English,Premier,2013-09-04,22,True,0,15108,2761,Long-term,English
110,596674,0.0,3305316.8000000003,1992-10-01,12,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,500+,English,Premier,2013-01-23,12,False,0,10404,2985,Mid-term,English
111,598464,0.0,544643.7333333334,1992-02-01,20,False,True,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,1-5,English,Standard,2012-09-08,20,True,0,10647,3122,Mid-term,English
112,599293,265.81666666666666,50505.166666666664,1989-01-01,5,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,N,1-5,Unknown,Standard,2012-09-26,5,False,1,11773,3104,Mid-term,Unknown
113,600098,0.0,253409.93333333335,1988-07-01,22,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,51-100,English,Standard,2011-02-07,22,False,0,11957,3701,Mid-term,English
114,600423,0.0,493349.60000000003,2007-07-10,24,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,Y,N,Y,51-100,English,Premier,2013-10-17,24,True,0,5009,2718,Short-term,English
115,610062,218.14000000000001,317611.84,1993-08-01,14,False,False,False,AUTO RENEW,WEB,N,N,N,N,N,N,N,N,Y,1-5,English,Premier,2013-12-30,14,True,1,10100,2644,Mid-term,English
116,610331,0.0,230601.6,1989-07-15,20,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,11-50,English,Premier,2015-07-13,20,True,0,11578,2084,Mid-term,English
117,613173,0.0,182160.0,1991-08-01,12,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,6-10,English,Standard,2013-04-14,12,False,0,10831,2904,Mid-term,English
119,617710,0.0,477741.3333333334,1996-01-01,20,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,6-10,English,Premier,2013-07-19,20,False,0,9217,2808,Mid-term,English
120,618112,272.5714285714286,372060.00000000006,2000-09-29,13,True,True,True,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,6-10,English,Standard,2013-05-08,13,False,1,7484,2880,Mid-term,English
122,626325,0.0,62081.36,1986-02-15,22,False,False,False,NOTICE,WEB,N,N,N,N,N,N,N,N,Y,1-5,English,Premier,2014-07-15,22,True,0,12824,2447,Mid-term,English
124,652288,0.0,246031.9085714286,2005-06-09,20,False,False,False,AUTO RENEW,AUTO RENEW,N,Y,N,N,N,N,Y,N,Y,6-10,English,Standard,2015-03-08,20,True,0,5770,2211,Short-term,English
125,655178,0.0,64707.41333333332,1953-02-15,13,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,1-5,English,Premier,2011-05-11,13,True,0,24877,3608,Long-term,English
126,657664,341.56571428571436,145848.56000000003,2004-08-19,7,False,False,False,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,N,N,Y,6-10,English,Premier,2013-07-18,7,True,1,6064,2809,Short-term,English
127,659887,256.15238095238095,369884.0380952381,1972-04-01,19,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,Y,N,Y,6-10,English,Standard,2013-09-03,19,True,1,17892,2762,Long-term,English
128,660147,0.0,236688.47999999998,1987-12-15,14,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,Y,N,Y,11-50,English,Premier,2015-10-10,14,False,0,12156,1995,Mid-term,English
129,660762,0.0,186198.48000000004,1990-12-01,9,False,False,False,AUTO RENEW,PHONE,N,N,N,N,N,N,N,N,Y,6-10,English,Standard,2010-06-25,9,True,0,11074,3928,Mid-term,English
130,664473,372.70133333333337,798326.256,1970-04-15,21,False,False,False,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,N,N,Y,11-50,English,Premier,2014-09-06,21,True,1,18609,2394,Long-term,English
131,678958,0.0,915618.3771428573,2014-06-29,20,False,False,False,AUTO RENEW,PHONE,N,Y,N,N,N,N,N,N,Y,6-10,English,Standard,2012-09-13,20,True,0,2463,3117,Short-term,English
132,681237,0.0,442626.80000000005,2010-12-03,15,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,11-50,English,Premier,2013-04-30,15,True,0,3767,2888,Short-term,English
133,684628,0.0,708728.0571428572,1993-10-01,17,False,True,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,6-10,English,Premier,2011-09-16,17,True,0,10039,3480,Mid-term,English
134,685272,0.0,766021.9542857143,1990-08-01,13,False,False,False,AUTO RENEW,WEB,N,N,N,N,N,N,N,N,Y,6-10,English,Standard,2012-08-10,13,True,0,11196,3151,Mid-term,English
135,686055,0.0,2301309.2666666666,1988-03-15,17,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,101-500,English,Premier,2008-11-04,17,False,0,12065,4526,Mid-term,English
138,688068,580.6666666666666,1097460.0,1980-12-25,21,False,False,False,AUTO RENEW,PHONE,N,N,N,N,N,N,N,N,Y,11-50,English,Premier,2012-06-09,21,True,1,14702,3213,Long-term,English
139,688257,0.0,878075.5000000001,1989-07-01,17,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,51-100,English,Premier,2012-08-08,17,True,0,11592,3153,Mid-term,English
141,696336,0.0,30805.866666666665,2004-05-17,2,False,False,False,NOTICE,AUTO RENEW,N,N,N,N,N,N,N,N,Y,101-500,English,Standard,2014-10-10,2,True,0,6158,2360,Short-term,English
142,697971,0.0,800891.0,2011-04-06,13,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,N,6-10,English,Standard,2012-02-14,13,True,0,3643,3329,Short-term,English
143,698519,177.1619047619048,66967.20000000001,1975-05-15,18,False,False,False,NOTICE,WEB,N,N,N,N,N,N,N,N,Y,6-10,English,Standard,2015-03-23,18,True,1,16753,2196,Long-term,English
145,703589,0.0,106229.76,2010-05-28,8,False,False,False,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,N,N,N,11-50,Unknown,Standard,2011-07-17,8,True,0,3956,3541,Short-term,Unknown
146,703988,427.02400000000006,1067560.0000000002,1994-04-15,20,False,True,False,AUTO RENEW,AUTO RENEW,N,Y,N,N,N,N,N,N,Y,6-10,English,Standard,2013-04-30,20,True,1,9843,2888,Mid-term,English
147,705377,0.0,819910.0,1986-01-01,21,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,6-10,English,Standard,2010-04-13,21,True,0,12869,4001,Mid-term,English
148,709218,0.0,616314.3999999999,1992-02-01,19,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,11-50,English,Premier,2015-03-15,19,False,0,10647,2204,Mid-term,English
149,710564,0.0,67689.6,2009-12-16,22,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,1-5,English,Standard,2015-02-08,22,True,0,4119,2239,Short-term,English
151,717672,567.5619047619048,237240.8761904762,1963-09-01,19,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,Y,Y,6-10,English,Standard,2007-07-25,19,True,1,21027,4994,Long-term,English
152,719924,0.0,504252.84,1997-06-01,21,False,False,False,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,N,N,Y,1-5,English,Standard,2014-06-16,21,True,0,8700,2476,Mid-term,English
153,721584,0.0,1535940.0,1996-02-15,20,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,101-500,English,Premier,2009-02-17,20,True,0,9172,4421,Mid-term,English
155,730662,0.0,260560.45714285717,1995-10-15,48,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,Y,N,Y,6-10,Unknown,Premier,2015-06-22,48,True,0,9295,2105,Mid-term,Unknown
156,734869,0.0,38773.799999999996,1996-06-01,9,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,1-5,English,Standard,2010-08-25,9,True,0,9065,3867,Mid-term,English
157,735844,245.5809523809524,459236.380952381,1974-07-01,22,False,True,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,6-10,English,Standard,2013-11-18,22,True,1,17071,2686,Long-term,English
158,738742,0.0,174068.88,1986-03-15,19,True,False,False,NOTICE,WEB,N,N,N,N,N,N,N,N,Y,1-5,English,Standard,2014-05-07,19,True,0,12796,2516,Mid-term,English
